C:\Users\Ajitkumar\Anaconda2\envs\spam27\python.exe C:/Users/Ajitkumar/Desktop/DK/malware/project/spam_review_tf/training.py
Vocabulary and the word2vec loaded
Vocabulary size is  9687
Word2Vec model shape is  (9687, 300)
train data shape  (1280, 160)
train labels shape  (1280, 2)
validation data shape  (160, 160)
validation labels shape  (160, 2)
2018-04-22 21:41:15.412995: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.414068: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.415116: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.416172: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.417219: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.419608: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.421008: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-04-22 21:41:15.422435: W c:\l\tensorflow_1501918863922\work\tensorflow-1.2.1\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
Writing to C:\Users\Ajitkumar\Desktop\DK\malware\project\spam_review_tf\runs\1524447709

train data shape  (1280, 160)
train labels shape  (1280, 2)
validation data shape  (160, 160)
validation labels shape  (160, 2)
2018-04-22T21:41:55.185200: step 1, loss 1.65502, acc 0.4375
2018-04-22T21:41:55.619508: step 2, loss 1.10573, acc 0.53125
2018-04-22T21:41:56.039803: step 3, loss 1.13468, acc 0.59375
2018-04-22T21:41:56.483140: step 4, loss 1.32766, acc 0.453125
2018-04-22T21:41:56.919452: step 5, loss 1.05529, acc 0.453125
2018-04-22T21:41:57.358772: step 6, loss 0.800748, acc 0.578125
2018-04-22T21:41:57.788251: step 7, loss 1.00104, acc 0.5625
2018-04-22T21:41:58.229563: step 8, loss 0.923817, acc 0.546875
2018-04-22T21:41:58.663386: step 9, loss 1.07714, acc 0.5625
2018-04-22T21:41:59.116705: step 10, loss 0.965574, acc 0.53125
2018-04-22T21:41:59.551028: step 11, loss 1.47995, acc 0.359375
2018-04-22T21:42:00.008350: step 12, loss 0.930673, acc 0.5
2018-04-22T21:42:00.450198: step 13, loss 0.944686, acc 0.5
2018-04-22T21:42:00.900514: step 14, loss 1.3843, acc 0.390625
2018-04-22T21:42:01.339827: step 15, loss 0.917724, acc 0.5625
2018-04-22T21:42:01.809682: step 16, loss 1.11216, acc 0.453125
2018-04-22T21:42:02.252992: step 17, loss 1.0688, acc 0.515625
2018-04-22T21:42:02.702316: step 18, loss 1.23085, acc 0.453125
2018-04-22T21:42:03.147631: step 19, loss 0.932162, acc 0.484375
2018-04-22T21:42:03.601463: step 20, loss 0.987642, acc 0.546875
2018-04-22T21:42:04.041772: step 21, loss 1.11107, acc 0.5
2018-04-22T21:42:04.496612: step 22, loss 1.04746, acc 0.5625
2018-04-22T21:42:04.950931: step 23, loss 0.927168, acc 0.578125
2018-04-22T21:42:05.406255: step 24, loss 1.19245, acc 0.453125
2018-04-22T21:42:05.864088: step 25, loss 0.876447, acc 0.515625
2018-04-22T21:42:06.317409: step 26, loss 1.3186, acc 0.421875
2018-04-22T21:42:06.765235: step 27, loss 0.974313, acc 0.5625
2018-04-22T21:42:07.225561: step 28, loss 1.08412, acc 0.421875
2018-04-22T21:42:07.681398: step 29, loss 1.01427, acc 0.5
2018-04-22T21:42:08.157734: step 30, loss 0.836607, acc 0.671875
2018-04-22T21:42:08.634583: step 31, loss 1.07771, acc 0.46875
2018-04-22T21:42:09.097909: step 32, loss 0.939248, acc 0.5625
2018-04-22T21:42:09.555247: step 33, loss 1.02539, acc 0.4375
2018-04-22T21:42:10.014570: step 34, loss 0.823882, acc 0.515625
